,name,location,year,kilometers_driven,fuel_type,transmission,owner_type,mileage,engine,power,seats,price
1527,Mercedes-Benz New C-Class C 200 Avantgarde Edition C,Kochi,2011,29813,Diesel,Automatic,Second,14.74,1991.0,181.03,5,11.5
1528,Maruti Wagon R LX BS IV,Pune,2011,71000,Diesel,Manual,First,20.51,998.0,67.04,5,2.6
1529,Hyundai Verna 1.6 CRDI,Kolkata,2014,32000,Diesel,Manual,First,22.32,1582.0,126.3,5,4.3
1530,Maruti Ertiga VXI CNG,Mumbai,2017,19234,CNG,Manual,First,17.5,1373.0,80.46,7,8.35
1531,Volkswagen Tiguan 2.0 TDI Highline,Jaipur,2017,50510,Diesel,Automatic,First,17.06,1968.0,141.0,5,24.9
1532,BMW X1 sDrive 20d Exclusive,Pune,2011,102000,Diesel,Automatic,First,15.06,1995.0,177.0,5,13.75
1533,Hyundai Grand i10 1.2 CRDi Sportz Option,Kolkata,2014,42277,Diesel,Manual,First,24.0,1186.0,73.97,5,3.85
1534,Mercedes-Benz E-Class E250 CDI Avantgrade,Mumbai,2014,46000,Diesel,Automatic,First,13.0,2143.0,201.1,5,23.25
1535,Hyundai Grand i10 Asta Option,Bangalore,2015,50000,Diesel,Manual,First,18.9,1197.0,82.0,5,5.75
1536,Hyundai i10 Magna 1.2,Mumbai,2008,62000,Diesel,Manual,Second,20.36,1197.0,78.9,5,1.65
1537,Volkswagen Jetta 2012-2014 2.0L TDI Comfortline,Mumbai,2012,78000,Diesel,Manual,First,19.33,1968.0,138.1,5,6.5
1538,Skoda Yeti Elegance,Chennai,2011,79000,Diesel,Manual,First,17.67,1968.0,138.08,5,7.5
1539,Audi Q7 45 TDI Quattro Premium Plus,Kochi,2019,6773,Diesel,Automatic,First,14.75,2967.0,245.0,7,72.94
1540,Toyota Fortuner 3.0 Diesel,Chennai,2010,135000,Diesel,Manual,Second,11.5,2982.0,171.0,7,11.0
1541,Maruti Wagon R VXI Minor ABS,Kochi,2013,36716,Diesel,Manual,First,18.9,1061.0,67.0,5,3.02
1542,Hyundai EON Era,Coimbatore,2013,65060,Diesel,Manual,First,21.1,814.0,55.2,5,3.32
1543,Honda Brio S MT,Delhi,2013,33000,Diesel,Manual,First,19.4,1198.0,86.8,5,3.24
1544,Maruti Alto 800 VXI,Kolkata,2015,11110,Diesel,Manual,First,22.74,796.0,47.3,5,2.35
1545,Mahindra Bolero ZLX,Jaipur,2013,63000,Diesel,Manual,First,15.96,2523.0,62.1,7,5.5
1546,Honda City i VTEC SV,Mumbai,2015,27030,Diesel,Manual,First,17.8,1497.0,117.3,5,6.75
1547,Skoda Rapid 1.6 MPI Elegance Black Package,Mumbai,2015,19600,Diesel,Manual,First,15.0,1598.0,103.52,5,6.15
1548,Maruti Swift VVT VXI,Pune,2016,27755,Diesel,Manual,First,22.0,1197.0,81.8,5,5.45
1549,Hyundai EON Magna Plus,Hyderabad,2013,20000,Diesel,Manual,Second,21.1,814.0,55.2,5,2.3
1550,Maruti Swift Dzire ZXI,Kochi,2015,24782,Diesel,Manual,First,20.85,1197.0,83.14,5,6.21
1551,Nissan Micra XV CVT,Coimbatore,2014,47303,Diesel,Automatic,First,19.34,1198.0,76.0,5,5.21
1552,Audi Q7 4.2 FSI quattro,Delhi,2008,71000,Diesel,Automatic,First,8.3,4134.0,250.0,7,11.99
1553,Maruti Swift Vdi BSIII,Pune,2010,135000,Diesel,Manual,First,17.8,1248.0,75.0,5,3.1
1554,Tata Xenon XT EX 4X2,Jaipur,2017,1000,Diesel,Manual,First,13.49,2179.0,138.03,5,7.5
1555,Volkswagen Polo 1.5 TDI Comfortline,Kolkata,2016,29000,Diesel,Manual,First,20.14,1498.0,88.8,5,4.0
1556,Honda City i VTEC SV,Kochi,2016,36367,Diesel,Manual,First,17.8,1497.0,117.3,5,7.73
1557,Honda City i VTEC V,Bangalore,2015,38000,Diesel,Manual,First,17.4,1497.0,117.3,5,7.8
1558,Maruti 800 AC BSIII,Hyderabad,2011,83969,Diesel,Manual,First,16.1,796.0,37.0,4,1.3
1559,Volkswagen Polo 1.5 TDI Trendline,Jaipur,2014,82621,Diesel,Manual,First,20.14,1498.0,88.8,5,4.42
1560,Chevrolet Captiva LTZ VCDi,Pune,2009,89000,Diesel,Automatic,First,12.5,1991.0,147.9,7,4.0
1561,Mahindra XUV500 W10 2WD,Kolkata,2016,54000,Diesel,Manual,First,16.0,2179.0,140.0,7,13.0
1562,Honda Amaze VX i-DTEC,Kochi,2015,61691,Diesel,Manual,First,25.8,1498.0,98.6,5,5.38
1563,Hyundai i20 1.2 Sportz Option,Chennai,2011,32200,Diesel,Manual,Second,17.0,1197.0,80.0,5,3.25
1564,Maruti Wagon R AMT VXI,Jaipur,2016,68630,Diesel,Automatic,First,20.51,998.0,67.0,5,3.87
1565,Volkswagen Jetta 2013-2015 2.0L TDI Highline AT,Mumbai,2014,61000,Diesel,Automatic,Second,16.96,1968.0,138.03,5,8.25
1566,Maruti Ciaz 1.4 Zeta,Mumbai,2018,32644,Diesel,Manual,First,20.73,1373.0,91.1,5,9.28
1567,Mahindra Scorpio 2009-2014 VLX 4WD AT 7S BSIV,Delhi,2012,85000,Diesel,Automatic,First,11.79,2179.0,120.0,7,6.25
1568,Chevrolet Aveo U-VA 1.2 LS,Mumbai,2008,75000,Diesel,Manual,Second,15.26,1150.0,74.9,5,1.15
1569,Maruti Ciaz ZXi Option,Kochi,2016,40347,Diesel,Manual,First,20.73,1373.0,91.2,5,7.8
1570,Hyundai i20 1.4 CRDi Asta,Hyderabad,2012,60788,Diesel,Manual,First,23.0,1396.0,90.0,5,4.5
1571,Honda Jazz 1.2 SV i VTEC,Kochi,2018,18664,Diesel,Manual,First,18.7,1199.0,88.7,5,7.56
1572,Mahindra XUV500 W10 2WD,Coimbatore,2017,57847,Diesel,Manual,First,16.0,2179.0,140.0,7,16.08
1573,Hyundai i20 1.2 Sportz,Bangalore,2012,52237,Diesel,Manual,First,17.0,1197.0,80.0,5,4.5
1574,Hyundai Verna 1.6 SX,Chennai,2012,128000,Diesel,Manual,First,22.32,1582.0,126.32,5,5.0
1575,Hyundai i10 Era 1.1,Delhi,2011,54000,Diesel,Manual,First,19.81,1086.0,68.05,5,2.2
1576,Maruti Celerio VXI AT,Bangalore,2014,49800,Diesel,Automatic,First,23.1,998.0,67.04,5,4.0
1577,Skoda Fabia 1.2 TDI Ambition,Kolkata,2012,98000,Diesel,Manual,First,20.86,1199.0,73.9,5,2.51
1578,Maruti Swift VDI BSIV,Delhi,2015,60095,Diesel,Manual,First,25.2,1248.0,74.0,5,4.75
1579,Hyundai i10 Magna(O) with Sun Roof,Pune,2008,68000,Diesel,Manual,Second,16.0,1086.0,66.7,5,2.0
1580,Hyundai i10 Magna 1.2,Jaipur,2010,81402,Diesel,Manual,Second,20.36,1197.0,78.9,5,2.1
1581,Ford Ecosport 1.5 Ti VCT AT Titanium,Mumbai,2013,38000,Diesel,Automatic,First,16.5,1499.0,110.0,5,6.25
1582,Mercedes-Benz E-Class 2009-2013 E350 CDI Avantgarde,Kochi,2011,92239,Diesel,Automatic,Second,11.5,2987.0,210.0,5,10.6
1583,Maruti Swift VDI BSIV,Ahmedabad,2017,49224,Diesel,Manual,First,25.2,1248.0,74.0,5,6.0
1584,Maruti 800 Std BSIII,Jaipur,2004,12000,Diesel,Manual,Second,16.1,796.0,37.0,4,0.45
1585,Maruti Swift Lxi BSIII,Pune,2010,54898,Diesel,Manual,Third,16.1,1298.0,88.2,5,2.5
1586,Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Mumbai,2018,2500,Diesel,Manual,First,15.29,1591.0,121.3,5,12.75
1587,BMW X1 M Sport sDrive 20d,Kochi,2017,32838,Diesel,Automatic,First,17.05,1995.0,190.0,5,30.29
1588,Ford Ikon 1.3 Flair,Hyderabad,2006,27076,Diesel,Manual,First,13.8,1299.0,70.0,5,1.6
1589,Ford Ecosport 1.5 DV5 MT Titanium Optional,Kochi,2017,75445,Diesel,Manual,First,22.7,1498.0,89.84,5,7.54
1590,Maruti Ciaz VXi Plus,Kochi,2015,46601,Diesel,Manual,First,20.73,1373.0,91.1,5,6.84
1591,Volkswagen Passat Diesel Highline 2.0 TDI,Kolkata,2012,72000,Diesel,Automatic,First,18.33,1968.0,167.7,5,6.0
1592,Honda Jazz 1.5 VX i DTEC,Pune,2017,27000,Diesel,Manual,First,27.3,1498.0,98.6,5,8.0
1593,Audi A4 35 TDI Premium,Coimbatore,2016,68193,Diesel,Automatic,First,17.11,1968.0,174.33,5,24.74
1594,Hyundai Grand i10 CRDi Sportz Celebration Edition,Kochi,2017,34429,Diesel,Manual,First,24.0,1120.0,70.0,5,5.5
1595,Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Delhi,2013,46000,Diesel,Automatic,First,12.0,2987.0,224.0,7,36.0
1596,Toyota Innova 2.5 G (Diesel) 7 Seater,Coimbatore,2013,80544,Diesel,Manual,First,12.99,2494.0,100.6,7,11.79
1597,Nissan Sunny 2011-2014 XL,Jaipur,2011,42000,Diesel,Manual,Second,16.95,1498.0,97.7,5,3.0
1598,Skoda Laura Ambiente 2.0 TDI CR AT,Bangalore,2011,94821,Diesel,Automatic,Second,20.0,1968.0,138.1,5,6.75
1599,Chevrolet Aveo 1.4 LS,Jaipur,2006,100000,Diesel,Manual,First,14.49,1399.0,92.7,5,1.4
1600,Honda Mobilio V i DTEC,Mumbai,2014,57000,Diesel,Manual,First,24.2,1498.0,98.6,7,5.75
1601,Maruti Ritz VDi,Hyderabad,2010,79894,Diesel,Manual,First,21.1,1248.0,73.9,5,3.4
1602,Volkswagen Polo Petrol Highline 1.2L,Coimbatore,2011,44748,Diesel,Manual,Second,16.47,1198.0,73.9,5,4.89
1603,Nissan Terrano XL,Mumbai,2013,31000,Diesel,Manual,First,13.24,1598.0,102.5,5,4.95
1604,Maruti A-Star AT Vxi Aktiv,Coimbatore,2013,60587,Diesel,Automatic,Second,16.98,998.0,66.1,5,3.49
1605,Honda City 1.5 S MT,Pune,2014,43772,Diesel,Manual,First,17.0,1497.0,118.0,5,6.35
1606,Hyundai Grand i10 AT Asta,Coimbatore,2017,23576,Diesel,Automatic,First,18.9,1197.0,82.0,5,7.08
1607,Jaguar XE 2.0L Diesel Prestige,Hyderabad,2017,4000,Diesel,Automatic,First,13.6,1999.0,177.0,5,38.0
1608,Mahindra Scorpio VLX,Kolkata,2012,62000,Diesel,Manual,First,12.05,2179.0,120.0,8,6.25
1609,Mercedes-Benz New C-Class C 200 Kompressor Elegance AT,Mumbai,2011,36000,Diesel,Automatic,First,11.74,1796.0,186.0,5,10.15
1610,Skoda Superb Elegance 1.8 TSI AT,Delhi,2014,80000,Diesel,Automatic,First,13.7,1798.0,157.75,5,10.75
1611,Chevrolet Cruze LTZ AT,Pune,2012,137008,Diesel,Automatic,First,18.1,1991.0,147.9,4,4.65
1612,Mahindra Scorpio VLX,Delhi,2010,61001,Diesel,Manual,First,12.05,2179.0,120.0,8,4.75
1613,Hyundai Verna 1.6 SX VTVT (O),Coimbatore,2015,52191,Diesel,Manual,First,17.1,1591.0,121.3,5,7.78
1614,Hyundai i20 1.4 Asta CRDi with AVN,Hyderabad,2016,77076,Diesel,Manual,First,23.0,1396.0,90.0,5,6.75
1615,Honda City ZX CVT,Hyderabad,2008,56000,Diesel,Automatic,First,16.4,1497.0,78.0,5,2.99
1616,Hyundai i10 Magna,Kolkata,2013,21000,Diesel,Manual,First,20.36,1197.0,78.9,5,2.35
1617,Honda Amaze S i-Dtech,Delhi,2013,89429,Diesel,Manual,First,25.8,1498.0,98.6,5,3.65
1618,Maruti Wagon R LXI,Delhi,2012,45631,Diesel,Manual,Second,22.5,998.0,67.04,5,2.74
1619,Honda Brio S MT,Jaipur,2013,53959,Diesel,Manual,First,19.4,1198.0,86.8,5,3.5
1620,Hyundai i20 1.2 Sportz Option,Kochi,2014,55804,Diesel,Manual,First,17.0,1197.0,80.0,5,4.76
1621,Volkswagen Vento 2013-2015 1.6 Comfortline,Kochi,2016,25899,Diesel,Manual,First,15.04,1598.0,103.2,5,6.2
1622,Skoda Octavia Rider 1.9 TDI MT,Pune,2008,82000,Diesel,Manual,Second,18.7,1896.0,66.0,5,2.35
1623,Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,Mumbai,2014,52000,Diesel,Automatic,First,13.0,2143.0,204.0,5,24.5
1624,Renault Duster Petrol RxL,Pune,2013,20000,Diesel,Manual,First,13.24,1598.0,102.57,5,6.0
1625,Hyundai EON Sportz,Hyderabad,2017,31829,Diesel,Manual,First,21.1,814.0,55.2,5,3.65
1626,Maruti Swift VXI,Coimbatore,2016,18094,Diesel,Manual,Second,18.6,1197.0,85.8,5,6.26
1627,Audi Q5 3.0 TDI Quattro Technology,Mumbai,2015,11964,Diesel,Automatic,First,13.22,2967.0,241.4,5,32.95
1628,Hyundai i20 1.2 Spotz,Coimbatore,2018,22684,Diesel,Manual,First,18.6,1197.0,81.83,5,7.8
1629,Honda Brio S MT,Bangalore,2014,43521,Diesel,Manual,First,19.4,1198.0,86.8,5,4.25
1630,Maruti Swift Dzire ZXi,Kochi,2014,49386,Diesel,Manual,First,17.5,1298.0,85.8,5,4.86
1631,Hyundai Grand i10 1.2 Kappa Magna,Delhi,2017,12248,Diesel,Manual,First,18.9,1197.0,81.86,5,4.9
1632,Mahindra Xylo E8 ABS BS IV,Coimbatore,2014,67771,Diesel,Manual,First,11.68,2498.0,112.0,8,7.06
1633,Volkswagen Polo GTI,Delhi,2015,60007,Diesel,Automatic,First,17.21,1798.0,189.0,4,4.5
1634,Maruti Alto K10 VXI,Coimbatore,2011,48624,Diesel,Manual,First,24.07,998.0,67.1,5,3.22
1635,Volkswagen Polo Diesel Comfortline 1.2L,Kolkata,2014,30000,Diesel,Manual,First,22.07,1199.0,73.9,5,3.25
1636,Hyundai Grand i10 Sportz,Delhi,2016,81605,Diesel,Manual,First,18.9,1197.0,82.0,5,4.53
1637,Mercedes-Benz New C-Class C 220 CDI Elegance AT,Coimbatore,2017,32642,Diesel,Automatic,First,14.84,2143.0,170.0,5,34.78
1638,Hyundai Verna 1.6 SX VTVT AT,Pune,2014,34200,Diesel,Automatic,First,15.74,1591.0,121.3,5,6.5
1639,Fiat Punto EVO 1.2 Emotion,Chennai,2010,72204,Diesel,Manual,First,15.7,1172.0,67.0,5,2.25
1640,Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,Pune,2011,156347,Diesel,Manual,Second,12.99,2494.0,100.0,8,8.0
1641,Mahindra TUV 300 2015-2019 mHAWK100 T8 AMT,Kochi,2017,47357,Diesel,Automatic,First,18.49,1493.0,100.0,7,8.37
1642,Volkswagen Polo 1.5 TDI Comfortline,Coimbatore,2015,61738,Diesel,Manual,First,20.14,1498.0,88.8,5,5.39
1643,BMW 5 Series 520d Luxury Line,Kochi,2018,32586,Diesel,Automatic,First,22.48,1995.0,190.0,5,37.3
1644,Mercedes-Benz GLE 350d,Coimbatore,2018,40129,Diesel,Automatic,First,11.57,2987.0,254.79,5,70.8
1645,Mercedes-Benz M-Class ML 350 CDI,Mumbai,2012,51000,Diesel,Automatic,First,11.74,2987.0,254.8,5,22.25
1646,Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2018,10393,Diesel,Manual,First,18.9,1197.0,81.86,5,6.03
1647,Skoda Superb Elegance 1.8 TSI AT,Mumbai,2011,46000,Diesel,Automatic,First,13.7,1798.0,157.75,5,4.9
1648,Hyundai i10 Sportz AT,Chennai,2013,21000,Diesel,Automatic,First,16.95,1197.0,78.9,5,3.96
1649,Hyundai i20 1.4 CRDi Asta,Hyderabad,2011,113562,Diesel,Manual,First,23.0,1396.0,90.0,5,4.6
1650,Mahindra Scorpio VLX,Mumbai,2011,100010,Diesel,Manual,Second,12.05,2179.0,120.0,8,5.5
1651,Honda Brio V MT,Mumbai,2013,63107,Diesel,Manual,First,19.4,1198.0,86.8,5,3.25
1652,Hyundai i20 1.2 Magna Executive,Jaipur,2017,58500,Diesel,Manual,First,18.6,1197.0,81.83,5,6.25
1653,Ford Endeavour 4x2 XLT Limited Edition,Pune,2007,90000,Diesel,Manual,Fourth & Above,10.9,2499.0,143.0,7,3.0
1654,Hyundai Verna CRDi SX,Chennai,2011,108242,Diesel,Manual,First,16.8,1493.0,110.0,5,4.25
1655,Toyota Fortuner 3.0 Diesel,Pune,2011,146300,Diesel,Manual,First,11.5,2982.0,171.0,7,12.25
1656,BMW X1 sDrive20d,Pune,2011,62943,Diesel,Automatic,Second,17.05,1995.0,184.0,5,10.95
1657,Toyota Fortuner 4x2 AT,Delhi,2013,65000,Diesel,Automatic,First,12.55,2982.0,168.5,7,16.5
1658,Honda Amaze V CVT Petrol,Pune,2018,1700,Diesel,Automatic,First,19.0,1199.0,88.76,5,7.8
1659,Hyundai i10 Era 1.1,Kochi,2013,34697,Diesel,Manual,First,19.81,1086.0,68.05,5,3.7
1660,Hyundai i20 1.2 Sportz,Hyderabad,2012,58000,Diesel,Manual,First,17.0,1197.0,80.0,5,4.0
1661,BMW 3 Series 320d GT Luxury Line,Mumbai,2015,32500,Diesel,Automatic,First,19.59,1995.0,187.74,5,26.75
1662,Audi Q3 35 TDI Quattro Premium Plus,Coimbatore,2016,58661,Diesel,Automatic,First,15.17,1968.0,181.0,5,28.03
1663,Maruti Swift VXI Optional,Kochi,2017,37124,Diesel,Manual,First,20.4,1197.0,81.8,5,5.44
1664,Maruti Baleno Delta Automatic,Delhi,2017,44000,Diesel,Automatic,First,21.4,1197.0,83.1,5,6.2
1665,Hyundai Accent GLE,Kolkata,2005,45200,Diesel,Manual,First,13.2,1495.0,94.0,5,0.9
1666,Maruti Ritz LXi,Mumbai,2016,11000,Diesel,Manual,First,18.5,1197.0,85.8,5,3.95
1667,Tata Nano Lx,Pune,2011,65000,Diesel,Manual,Second,26.0,624.0,35.0,4,0.44
1668,Ford Figo Diesel EXI,Ahmedabad,2012,55005,Diesel,Manual,First,20.0,1399.0,68.0,5,2.75
1669,Volkswagen Passat Diesel Highline 2.0 TDI,Hyderabad,2011,81650,Diesel,Automatic,First,18.33,1968.0,167.7,5,7.5
1670,Fiat Linea Emotion Pack (Diesel),Chennai,2010,160000,Diesel,Manual,Second,19.0,1248.0,93.0,5,2.5
1671,Mahindra Xylo D4,Hyderabad,2015,169000,Diesel,Manual,First,14.95,2489.0,93.7,7,5.0
1672,Maruti Wagon R VXI,Hyderabad,2013,67263,Diesel,Manual,First,18.9,998.0,67.1,5,3.6
1673,Toyota Etios G Safety,Kochi,2012,44223,Diesel,Manual,First,17.6,1496.0,88.7,5,3.99
1674,Hyundai Grand i10 Sportz,Coimbatore,2015,36840,Diesel,Manual,First,18.9,1197.0,82.0,5,5.64
1675,Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,Pune,2014,160000,Diesel,Manual,First,12.99,2494.0,100.0,8,12.0
1676,Tata Indica V2 DLS TC,Kolkata,2008,133000,Diesel,Manual,First,16.8,1405.0,62.0,5,0.7
1677,BMW 3 Series 320d Sport Line,Mumbai,2015,69123,Diesel,Automatic,First,18.88,1995.0,184.0,5,19.0
1678,Ford Endeavour 3.2 Titanium AT 4X4,Delhi,2017,38000,Diesel,Automatic,First,10.91,3198.0,197.0,7,30.48
1679,Maruti Ciaz Zeta,Mumbai,2017,5500,Diesel,Manual,First,21.56,1462.0,103.25,5,8.2
1680,Ford Figo 1.5D Titanium Plus MT,Kolkata,2015,1001,Diesel,Manual,First,25.83,1498.0,99.0,5,7.55
1681,Chevrolet Aveo U-VA 1.2 LS,Pune,2007,59000,Diesel,Manual,Third,15.26,1150.0,74.9,5,0.99
1682,Honda City 1.5 V AT,Delhi,2011,78256,Diesel,Automatic,First,16.8,1497.0,118.0,5,4.15
1683,Nissan Sunny XL,Chennai,2016,90000,Diesel,Manual,First,16.95,1498.0,97.6,5,6.2
1684,Maruti Swift Dzire VXI,Kolkata,2016,18000,Diesel,Manual,First,19.1,1197.0,85.8,5,4.4
1685,Ford Figo Diesel Titanium,Kolkata,2012,60000,Diesel,Manual,First,20.0,1399.0,68.0,5,2.1
1686,Fiat Grande Punto 1.3 Emotion (Diesel),Jaipur,2011,130000,Diesel,Manual,First,20.3,1248.0,75.0,5,2.2
1687,Hyundai Elite i20 Petrol Asta,Coimbatore,2018,32851,Diesel,Manual,First,18.6,1197.0,81.86,5,8.34
1688,Maruti Swift Dzire VDI,Kolkata,2014,32000,Diesel,Manual,First,23.4,1248.0,74.0,5,4.35
1689,Ford Ecosport 1.5 DV5 MT Titanium,Hyderabad,2014,62700,Diesel,Manual,First,22.7,1498.0,89.84,5,6.8
1690,Maruti Swift Dzire VDi,Jaipur,2010,71000,Diesel,Manual,First,19.3,1248.0,73.9,5,3.3
1691,Hyundai Grand i10 Sportz,Kochi,2016,19947,Diesel,Manual,First,18.9,1197.0,82.0,5,5.04
1692,Ford Endeavour 3.0L 4X4 AT,Hyderabad,2012,91000,Diesel,Automatic,First,11.4,2953.0,153.86,7,9.2
1693,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2014,74000,Diesel,Manual,First,22.07,1199.0,73.9,5,5.7
1694,Mahindra TUV 300 2015-2019 mHAWK100 T8,Kochi,2018,55594,Diesel,Manual,First,18.49,1493.0,100.0,7,8.48
1695,BMW X6 xDrive 40d,Hyderabad,2013,58000,Diesel,Automatic,First,11.2,2993.0,306.0,4,48.0
1696,Renault Duster 110PS Diesel RxZ,Hyderabad,2012,110224,Diesel,Manual,First,19.01,1461.0,108.45,5,6.1
1697,Maruti Wagon R LXI,Ahmedabad,2010,21002,Diesel,Manual,First,22.5,998.0,67.04,5,2.75
1698,Maruti Ertiga SHVS VDI,Pune,2017,121000,Diesel,Manual,First,24.52,1248.0,88.5,7,8.0
1699,Maruti Alto LXi BSIII,Jaipur,2010,73513,Diesel,Manual,First,19.7,796.0,46.3,5,1.85
1700,Maruti Wagon R AMT VXI Option,Jaipur,2015,34000,Diesel,Automatic,First,20.51,998.0,67.0,5,3.85
1701,Maruti Eeco 7 Seater Standard,Coimbatore,2017,28371,Diesel,Manual,First,15.1,1196.0,73.0,7,4.74
1702,Renault Duster 110PS Diesel RxL,Kochi,2013,74755,Diesel,Manual,First,19.6,1461.0,108.45,5,5.63
1703,Maruti Zen Estilo 1.1 LX BSIII,Kochi,2011,25805,Diesel,Manual,First,18.2,1061.0,64.0,5,2.62
1704,Renault Duster Petrol RxL,Kochi,2015,82603,Diesel,Manual,First,13.06,1598.0,102.53,5,4.9
1705,Honda Civic 2006-2010 1.8 S MT,Chennai,2006,110000,Diesel,Manual,First,13.5,1799.0,130.0,5,2.65
1706,Mahindra XUV500 W8 2WD,Delhi,2012,88000,Diesel,Manual,First,16.0,2179.0,140.0,7,5.99
1707,Mahindra Verito 1.5 D6 BSIV,Chennai,2011,110000,Diesel,Manual,Second,21.0,1461.0,64.1,5,2.4
1708,Renault KWID Climber 1.0 MT,Delhi,2017,15000,Diesel,Manual,First,21.7,999.0,67.0,5,4.25
1709,Porsche Cayenne Diesel,Mumbai,2013,70000,Diesel,Automatic,First,15.15,2967.0,240.0,5,40.0
1710,Maruti Swift DDiS VDI,Pune,2008,150000,Diesel,Manual,Second,28.4,1248.0,74.0,5,2.7
1711,Datsun GO T Option,Hyderabad,2016,19000,Diesel,Manual,First,20.63,1198.0,67.0,5,2.99
1712,Hyundai i20 1.2 Magna,Chennai,2011,37442,Diesel,Manual,First,18.5,1197.0,80.0,5,3.4
1713,BMW 5 Series 2013-2017 520d Luxury Line,Coimbatore,2016,63111,Diesel,Automatic,Second,18.12,1995.0,190.0,5,30.8
1714,Maruti Ertiga ZDI,Mumbai,2012,88000,Diesel,Manual,First,20.77,1248.0,88.8,7,5.85
1715,Hyundai Grand i10 Magna,Jaipur,2014,42355,Diesel,Manual,First,18.9,1197.0,82.0,5,4.0
1716,BMW 3 Series 330i,Coimbatore,2011,75871,Diesel,Automatic,First,9.43,2996.0,254.0,5,14.12
1717,Chevrolet Cruze LTZ,Mumbai,2011,65000,Diesel,Manual,First,17.9,1998.0,163.7,5,4.55
1718,Mercedes-Benz M-Class ML 350 4Matic,Pune,2015,69000,Diesel,Automatic,First,0.0,2987.0,165.0,5,38.0
1719,Maruti Ritz LDi,Jaipur,2011,79232,Diesel,Manual,First,21.1,1248.0,73.9,5,2.9
1720,Mercedes-Benz New C-Class C 200 Kompressor Elegance AT,Pune,2007,220000,Diesel,Automatic,Second,11.74,1796.0,186.0,5,6.0
1721,Hyundai i20 1.2 Magna Executive,Kochi,2016,28470,Diesel,Manual,First,18.6,1197.0,81.83,5,6.95
1722,Hyundai EON 1.0 Kappa Magna Plus Optional,Kolkata,2014,9759,Diesel,Manual,First,20.3,998.0,68.05,5,2.75
1723,Maruti Swift VDI,Pune,2014,75216,Diesel,Manual,First,22.9,1248.0,74.0,5,5.1
1724,Hyundai i20 Sportz 1.2,Chennai,2017,8000,Diesel,Manual,First,18.6,1197.0,81.83,5,6.75
1725,Maruti Ritz ZXi,Mumbai,2014,59451,Diesel,Manual,First,18.5,1197.0,85.8,5,3.69
1726,Maruti Swift VDI,Hyderabad,2013,53996,Diesel,Manual,First,22.9,1248.0,74.0,5,5.45
1727,Honda WRV i-VTEC VX,Kochi,2018,15135,Diesel,Manual,First,17.5,1199.0,88.7,5,9.29
1728,Hyundai Xcent 1.2 Kappa AT S Option,Chennai,2015,53000,Diesel,Automatic,Second,16.9,1197.0,81.86,5,4.0
1729,Honda Amaze E i-Vtech,Kolkata,2013,40000,Diesel,Manual,First,18.0,1198.0,86.7,5,2.9
1730,Hyundai Verna 1.6 SX VTVT (O),Pune,2013,21107,Diesel,Manual,First,17.1,1591.0,121.3,5,5.25
1731,Honda City V MT,Mumbai,2014,56000,Diesel,Manual,First,16.8,1497.0,116.3,5,5.75
1732,Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Coimbatore,2017,19623,Diesel,Manual,First,15.29,1591.0,121.3,5,13.12
1733,Mahindra XUV500 W8 2WD,Kochi,2014,70963,Diesel,Manual,First,15.1,2179.0,140.0,7,7.83
1734,Maruti Wagon R LXI CNG,Mumbai,2013,25755,CNG,Manual,First,26.6,998.0,58.16,5,3.15
1735,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2013,51450,Diesel,Manual,First,12.8,2494.0,102.0,7,10.4
1736,Maruti Swift VDI,Pune,2012,75000,Diesel,Manual,First,22.9,1248.0,74.0,5,4.35
1737,Maruti Wagon R VXI AMT,Coimbatore,2017,37832,Diesel,Automatic,First,22.5,998.0,67.0,5,5.23
1738,Hyundai Grand i10 1.2 Kappa Asta,Coimbatore,2016,43041,Diesel,Manual,First,18.9,1197.0,81.86,5,6.01
1739,Honda Amaze VX i-DTEC,Hyderabad,2014,97236,Diesel,Manual,First,25.8,1498.0,98.6,5,4.4
1740,BMW 3 Series 320d Highline,Chennai,2010,83000,Diesel,Automatic,First,16.07,1995.0,181.0,5,12.75
1741,Ford Figo Petrol Titanium,Delhi,2011,65000,Diesel,Manual,First,15.6,1196.0,70.0,5,2.4
1742,Volkswagen Ameo 1.2 MPI Trendline,Kochi,2018,46007,Diesel,Manual,First,17.0,1198.0,73.75,5,5.71
1743,Ford Ecosport 1.5 DV5 MT Trend,Kochi,2015,65925,Diesel,Manual,Second,22.7,1498.0,89.84,5,5.49
1744,Honda City 1.3 EXI,Pune,2004,73500,Diesel,Manual,Second,13.0,1343.0,90.0,5,1.3
1745,Mahindra XUV500 W6 2WD,Kolkata,2014,55000,Diesel,Manual,First,16.0,2179.0,140.0,7,8.5
1746,Toyota Fortuner 4x2 Manual,Delhi,2012,115000,Diesel,Manual,First,13.0,2982.0,168.5,7,12.99
